id,title,authors,year,venue,url,doi,tags,relevance,path,summary_link,bibtex_link,status,priority
lim2023sandbpf,Unleashing Unprivileged eBPF Potential with Dynamic Sandboxing,"Soo Yee Lim, Xueyuan Han, Thomas Pasquier",2023,SIGCOMM Workshop on eBPF and Kernel Extensions,https://arxiv.org/abs/2308.01983,10.1145/3607062.3607111,"eBPF, Isolation, Runtime Security, SFI, Multi-Tenant",9.0,papers/arxiv/2023_arXiv_SandBPF.pdf,summaries/2023_arXiv_SandBPF.md,metadata/bibtex/lim2023sandbpf.bib,Read,Must Read First
findlay2020bpfbox,bpfbox: Simple Precise Process Confinement with eBPF,"William Findlay, Anil Somayaji, David Barrera",2020,ACM CCSW,https://arxiv.org/abs/2009.09635,10.1145/3411495.3421358,"eBPF, Runtime Security, Process Confinement, LSM, Linux",8.5,papers/acm/2020_ACM_bpfbox.pdf,summaries/2020_ACM_bpfbox.md,metadata/bibtex/findlay2020bpfbox.bib,Read,Must Read First
findlay2021bpfcontain,BPFContain: Fixing the Soft Underbelly of Container Security,"William Findlay, David Barrera, Anil Somayaji",2021,arXiv Preprint,https://arxiv.org/abs/2102.06972,arXiv:2102.06972,"eBPF, Runtime Security, Container Isolation, LSM, Linux, Multi-Tenant",9.5,papers/arxiv/2021_arXiv_BPFContain.pdf,summaries/2021_arXiv_BPFContain.md,metadata/bibtex/findlay2021bpfcontain.bib,Read,Must Read First
sun2024validating,Validating the eBPF Verifier via State Embedding,"Hao Sun, Zhendong Su",2024,USENIX OSDI,https://www.usenix.org/conference/osdi24/presentation/sun-hao,N/A,"eBPF, eBPF Verifier, Fuzzing, Linux, Security Verification",8.5,papers/osdi/2024_OSDI_StateEmbedding.pdf,summaries/2024_OSDI_StateEmbedding.md,metadata/bibtex/sun2024validating.bib,Read,Must Read First
ghimire2025ebpfpatrol,eBPF-PATROL: Protective Agent for Threat Recognition and Overreach Limitation using eBPF in Containerized and Virtualized Environments,"Sangam Ghimire, Nirjal Bhurtel, Roshan Sahani, Sudan Jha",2025,arXiv Preprint,https://arxiv.org/abs/2511.18155,arXiv:2511.18155,"eBPF, Runtime Security, Kubernetes, Containers, Cloud, Observability",8.0,papers/arxiv/2025_arXiv_eBPFPatrol.pdf,summaries/2025_arXiv_eBPFPatrol.md,metadata/bibtex/ghimire2025ebpfpatrol.bib,Read,Useful
controlplane2024threatmodel,eBPF Security Threat Model,"Jack Kelly, James Callaghan, Andrew Martin",2024,Linux Foundation Whitepaper,https://github.com/ebpffoundation/publications/blob/main/2024/ControlPlane_eBPF_Security_Threat_Model.pdf,N/A,"eBPF, Threat Model, Kubernetes, Cloud-Native, Container Security, Linux",9.0,papers/arxiv/2024_LF_eBPFThreatModel.pdf,summaries/2024_LF_eBPFThreatModel.md,metadata/bibtex/controlplane2024threatmodel.bib,Read,Must Read First
gbadamosi2024ebpfruntime,The eBPF Runtime in the Linux Kernel,"Bolaji Gbadamosi, Luigi Leonardi, Tobias Pulls, Toke Høiland-Jørgensen, Simone Ferlin-Reiter, Simo Sorce, Anna Brunström",2024,arXiv Preprint,https://arxiv.org/abs/2410.00026,arXiv:2410.00026,"eBPF, Linux Kernel, eBPF Runtime, Safety Properties, Verifier",9.0,papers/arxiv/2024_arXiv_eBPFRuntimeLinux.pdf,summaries/2024_arXiv_eBPFRuntimeLinux.md,metadata/bibtex/gbadamosi2024ebpfruntime.bib,Read,Must Read First
he2023crosscontainer,Cross Container Attacks: The Bewildered eBPF on Clouds,"Yi He, Roland Guo, Yunlong Xing, Xijia Che, Kun Sun, Zhuotao Liu, Ke Xu, Qi Li",2023,USENIX Security Symposium,https://www.usenix.org/conference/usenixsecurity23/presentation/he,N/A,"eBPF, Container Escape, Multi-Tenant, Kubernetes, Cloud Security, Offensive Security",9.5,papers/usenix/2023_USENIX_CrossContainerAttacks.pdf,summaries/2023_USENIX_CrossContainerAttacks.md,metadata/bibtex/he2023crosscontainer.bib,Read,Must Read First
